Code,Cyclomatic Complexity Before,Cyclomatic Complexity After,Cyclomatic Complexity Change,Halstead Effort Before,Halstead Effort After,Halstead Effort Change,Halstead Difficulty Before,Halstead Difficulty After,Halstead Difficulty Change,Halstead Vocabulary Before,Halstead Vocabulary After,Halstead Vocabulary Change,Number of loops Before,Number of loops After,Number of loops Change,DIT Before,DIT After,DIT Change,LCOM Before,LCOM After,LCOM Change,CBO Before,CBO After,CBO Change,LOC Before,LOC After,LOC Change
Code 1,1,1,0,102.36,153.41,49.87251004,2.75,3.75,36.35041803,9.5,9.75,2.631301968,0,0,0,1,1,0.00,1,1,0,1,2.75,174.8251748,8,9.25,15.62304712
Code 2,1,1,0,27,78.51,190.7707122,2,2.12,5.997001499,5,7.5,49.990002,0,0,0,0,0,0.00,1,1,0,0,2.67,267000,6,9.67,61.15647392
Code 3,1,1,0,58.59,114.11,94.75858067,2.5,3.22,28.78848461,7,8.33,18.9972861,0,0,0,0,0,0.00,1,1,0,1,2.67,166.8331668,7,9,28.56734752
Code 4,2.05,1.96,-4.388103364,6248.29,4944.76,-20.86218456,6.88,6.29,-8.574335126,20.22,17.23,-14.78660798,0,0,0,0,0.18,"18,000.00",1,1,0,3.67,5.15,40.31599019,32.11,25.38,-20.95855003
Code 5,1.24,1.23,-0.8058017728,1913.5,1668.87,-12.78441976,4.83,4.97,2.897950735,25.38,24,-5.437138017,0,0,0,0,0.14,"14,000.00",0.88,1,13.62088536,3.25,4.22,29.83697324,33.5,30.78,-8.119160622
Code 6,1.4,1.41,0.7137758744,30699.36,32011.49,4.274128051,32.56,33.44,2.702619698,46.17,46.67,1.082930844,0.08,0.07,-12.34567901,0,0,0.00,11,11.17,1.545314062,2.83,2.83,0,160.33,163.17,1.77133555
Code 7,1.56,1.5,-3.843689942,2392.65,2083.42,-12.92415818,4.94,4.81,-2.631046347,31.36,28.15,-10.235643,0,0,0,0,0.2,"20,000.00",1,1.08,7.992007992,4.36,4.77,9.401513414,29.36,26,-11.44375192
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,
