Code Link,,,,,,,,,Patterns Used
https://github.com/mkandaleft/Risk/commit/0be25c57efde258ebaaa89e24d508ad227f387d5,,,,,,,,,Observer Pattern
https://github.com/RauliYoung/OTP-1/commit/181599d3473992f3d97bfb3342edc0fed4319e38?diff=split&w=0,,,,,,,,,Observer Pattern
https://github.com/alcenircosta/crud-javafx-jdbc/commit/76a8bd275b723eacf931e1efd997b60891bf74c1,,,,,,,,,Observer Pattern
https://github.com/Jayant-Duneja/Arcane/commit/1fcb097a2d5e41ac122bc6486a79b61c4c64ea1a#diff-0a08dc37028d1ce6472939d23dbef8f53fb59a8627bc2899b5616b2e4d1c0f74,,,,,,,,,Observer Pattern
https://github.com/PollyBreak/ArkhamHorror-Client/commit/f833a0b2f69a151d03cd51fd14fc2d78d8a9db0b,,,,,,,,,Observer Pattern
https://github.com/LeitgebMathias/fhmdb-exercise-4/commit/d1253ddcc23f0b8649a9de2eb083e8cb69fe2665?diff=unified&w=0,,,,,,,,,Observer Pattern
https://github.com/mike-papa/Post-Iron-Game/commit/0b1030b657afdd9df158535310503a878c1c8005,,,,,,,,,Observer Pattern
https://github.com/TanasiienkoAnastasia/DownloadManager/commit/d2f98a830806a0bef55fd4570b8218e5267c23c7,,,,,,,,,Observer Pattern
https://github.com/chrosciu/design-patterns-workshop/commit/cd487142c7aea9c8fbb5deb897ec18b75eb6b03b,,,,,,,,,Observer Pattern
https://github.com/DomnuRiCHiE/JavaHotelManagement/commit/63c81ed6eea776a0cc057912860513d2fc23fbf3,,,,,,,,,Observer Pattern
